url,query
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/18th-annual-ski-and-snowboard-camp-young-transplant-patients-will-took-place-march, "details on 18th annual ski and snowboard camp for transplant patients"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/18th-annual-ski-and-snowboard-camp-young-transplant-patients-will-took-place-march, "ski camp for young transplant patients Anzère March 2019"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/18th-annual-ski-and-snowboard-camp-young-transplant-patients-will-took-place-march, "2019 ski and snowboard camp for young transplant patients"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/18th-annual-ski-and-snowboard-camp-young-transplant-patients-will-took-place-march, "Anzère ski camp for transplant kids March 2019"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/18th-annual-ski-and-snowboard-camp-young-transplant-patients-will-took-place-march, "annual ski camp for young transplant recipients 2019"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/animated-video-better-understanding-portal-hypertension, "portal hypertension animation"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/animated-video-better-understanding-portal-hypertension, "portal hypertension educational video"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/animated-video-better-understanding-portal-hypertension, "understanding portal hypertension"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/animated-video-better-understanding-portal-hypertension, "portal hypertension patient education"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/animated-video-better-understanding-portal-hypertension, "portal hypertension HUG video"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/annual-rapport-discover-key-figures-2018-2020-swiss-pediatric-liver-center, "Swiss Pediatric Liver Center annual report"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/annual-rapport-discover-key-figures-2018-2020-swiss-pediatric-liver-center, "key figures Swiss Pediatric Liver Center 2018-2020"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/annual-rapport-discover-key-figures-2018-2020-swiss-pediatric-liver-center, "SPLC 2018-2020 statistics"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/annual-rapport-discover-key-figures-2018-2020-swiss-pediatric-liver-center, "Swiss Pediatric Liver Center achievements 2018-2020"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/annual-rapport-discover-key-figures-2018-2020-swiss-pediatric-liver-center, "annual report SPLC"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/association-mahana4kids-organizes-marche-pour-vie-promote-organ-donation-and-support, "Mahana4Kids organ donation event"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/association-mahana4kids-organizes-marche-pour-vie-promote-organ-donation-and-support, "marche pour la vie event details"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/association-mahana4kids-organizes-marche-pour-vie-promote-organ-donation-and-support, "support for families of children with liver disease"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/association-mahana4kids-organizes-marche-pour-vie-promote-organ-donation-and-support, "organ donation awareness walk"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/association-mahana4kids-organizes-marche-pour-vie-promote-organ-donation-and-support, "Mahana4Kids liver disease support"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/big-yellow-friday-yellow-month-day-and-month-dedicated-children-liver-disease, "Big Yellow Friday event"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/big-yellow-friday-yellow-month-day-and-month-dedicated-children-liver-disease, "Yellow Month awareness"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/big-yellow-friday-yellow-month-day-and-month-dedicated-children-liver-disease, "children with liver disease awareness month"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/big-yellow-friday-yellow-month-day-and-month-dedicated-children-liver-disease, "supporting children with liver disease"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/big-yellow-friday-yellow-month-day-and-month-dedicated-children-liver-disease, "Big Yellow Friday details"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/congratulation-all-participants-marche-pour-vie-organized-mahana4kids-association, "Marche pour la Vie participants"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/congratulation-all-participants-marche-pour-vie-organized-mahana4kids-association, "Mahana4Kids event success"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/congratulation-all-participants-marche-pour-vie-organized-mahana4kids-association, "Marche pour la Vie 2023 recap"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/congratulation-all-participants-marche-pour-vie-organized-mahana4kids-association, "thank you participants Mahana4Kids"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/congratulation-all-participants-marche-pour-vie-organized-mahana4kids-association, "event highlights Mahana4Kids walk"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/eaps-2022-prof-valerie-mclin-congenital-portosystemic-shunts-identification-and, "congenital portosystemic shunts EAPS 2022"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/eaps-2022-prof-valerie-mclin-congenital-portosystemic-shunts-identification-and, "Prof. Valérie McLin portosystemic shunts"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/eaps-2022-prof-valerie-mclin-congenital-portosystemic-shunts-identification-and, "portosystemic shunts therapy 2022"
https://huginternet-hug23sitestma172.ideative.io/en/actualite/csfe/eaps-2022-prof-valerie-mclin-congenital-portosystemic-shunts-identification-and, "EAPS 2022 liver shunts"
