recall@10,tm_X3b_en_body_value,tm_X3b_en_field_ref_desc,tm_X3b_en_field_ref_titre,tm_X3b_en_mots_cles,tm_X3b_en_title,tm_X3b_en_corps_value,tm_X3b_en_paragraphs_text,tm_X3b_en_name,tm_X3b_en_mission_value,tm_X3b_en_text_content
0.5123,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.6598,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7172,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.6680,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7029,1.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.5328,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000
0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000
0.7254,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000
0.6885,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000,1.0000
0.6885,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000
0.6885,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.6926,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,0.0000,1.2000,1.2000,1.2000
0.7090,0.0400,1.2400,1.2400,1.2400,1.2400,1.2400,0.8000,1.2400,1.2400,1.2400
0.6885,0.8480,1.2880,1.2880,1.2880,1.2880,0.0880,0.7600,1.2880,1.2880,1.2880
0.6803,0.8176,0.1456,1.3456,1.3456,1.3456,0.9056,0.7120,1.3456,1.3456,1.3456
0.7254,0.7811,0.9747,1.4147,0.2147,1.4147,0.8867,0.6544,1.4147,1.4147,1.4147
0.6557,0.9562,1.9949,1.0829,0.6429,1.0829,0.9773,0.9309,1.0829,1.0829,1.0829
0.7090,0.8523,0.6079,1.2799,1.1699,1.2799,0.9235,0.7667,1.2799,1.2799,1.2799
0.5287,0.9267,0.7165,1.1389,0.6769,1.1389,1.9621,0.8842,1.1389,1.1389,1.1389
0.7008,0.8677,1.1451,1.2507,1.1352,1.2507,0.5565,0.7911,1.2507,1.2507,1.2507
0.7172,0.7482,1.0336,1.4771,0.9920,1.4771,0.9614,0.6024,1.4771,1.4771,1.4771
0.7295,0.6979,1.0403,1.5725,0.9904,1.5725,0.9536,0.5229,1.5725,1.5725,0.3725
0.7336,0.5468,1.0604,1.8587,0.9856,1.8587,0.9304,0.2844,1.8587,1.8587,0.0000
0.7336,0.6072,1.0524,1.7442,0.9875,1.7442,0.9397,0.3798,1.7442,0.5442,1.1725
0.6844,0.2886,0.8228,1.6531,0.7450,1.6531,0.6877,1.4558,1.6531,1.2131,0.9670
0.7172,0.9722,1.1057,1.3133,1.0862,1.3133,1.0719,0.3639,1.3133,1.2033,1.1417
0.7213,0.6419,0.8698,1.6149,0.8000,1.6149,1.4342,0.5793,1.6149,1.1529,0.8945
0.7295,0.4379,0.9889,1.9886,0.8952,0.7886,1.0776,0.2862,1.9886,1.4342,1.1241
0.7336,0.5028,1.4572,1.8504,0.6703,1.4104,1.1849,0.4234,1.8504,1.1851,0.8130
0.7131,1.4076,0.8685,2.0124,0.4863,1.4844,0.8574,0.3148,2.0124,1.2140,0.7675
0.7295,1.0657,0.9614,1.8193,0.6747,1.4233,0.9530,0.4361,1.8193,1.2205,0.8856
0.7336,0.4942,0.9739,2.0403,0.5577,1.4331,1.0017,0.7652,2.0403,1.2542,0.8145
0.7336,0.6673,1.0342,1.9891,0.5651,1.2605,1.1203,0.5593,1.9891,0.9358,0.3467
0.7377,0.3490,1.0746,1.4640,0.4702,1.7897,1.1057,0.0736,2.6640,1.4001,0.6931
0.7172,0.0235,1.1118,1.1961,0.2052,2.1845,1.1585,0.0000,3.4961,1.6001,0.5397
0.7295,0.6485,1.2457,1.8190,0.6042,1.2098,0.6058,0.3932,2.2590,1.2967,0.7584
