recall@10,tm_X3b_en_body_value,tm_X3b_en_field_ref_desc,tm_X3b_en_field_ref_titre,tm_X3b_en_mots_cles,tm_X3b_en_title,tm_X3b_en_corps_value,tm_X3b_en_paragraphs_text,tm_X3b_en_name,tm_X3b_en_mission_value,tm_X3b_en_text_content
0.7234,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.5246,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3361,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7152,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.8215,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.6403,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.5710,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.5282,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.5018,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4854,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4753,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4691,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4652,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4628,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4614,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4605,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4599,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4595,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4593,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4592,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4591,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4591,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7234,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.6107,1.4590,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.4918,1.4590,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7090,1.4590,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7500,1.4590,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7152,1.4590,0.9017,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7377,1.4590,1.6027,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.3283,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7500,1.4590,1.1654,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.3122,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7623,1.4590,1.3203,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2561,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7582,1.4590,1.2214,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2775,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2908,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7623,1.4590,1.2989,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2857,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2826,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2806,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2795,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2787,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2783,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2780,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2778,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2777,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2776,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2776,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7582,1.4590,1.2776,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7295,1.4590,1.2776,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.2776,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7787,1.4590,1.2776,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.2776,1.1080,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7705,1.4590,1.2776,1.7344,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7623,1.4590,1.2776,1.3249,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.2776,1.5642,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2776,1.3361,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.2776,1.4120,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.5172,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.5026,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4971,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4937,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4915,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4902,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4894,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4886,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4884,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4883,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4882,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4882,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7705,1.4590,1.2776,1.4881,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,3.0902,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.8115,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.6393,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.5329,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.4671,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.4265,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.4013,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3858,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3762,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3703,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3666,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3643,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3629,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3621,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3615,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3612,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3610,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3609,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3608,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3608,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2776,1.4881,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7787,1.4590,1.2776,1.4881,2.3607,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000
0.7418,1.4590,1.2776,1.4881,2.3607,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000
0.7971,1.4590,1.2776,1.4881,2.3607,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000
0.7869,1.4590,1.2776,1.4881,2.3607,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4686,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2776,1.4881,2.3607,2.9846,1.0000,1.0000,1.0000,1.0000,1.0000
0.7951,1.4590,1.2776,1.4881,2.3607,2.6346,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4880,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4783,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4746,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4723,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4709,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4700,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2776,1.4881,2.3607,2.4695,1.0000,1.0000,1.0000,1.0000,1.0000
